,Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
127,2/05/2016,332.5,337.5,330,335,335.3,416744,1396.26
128,29/04/2016,330,337,329.3,331.3,332.05,313165,1045.38
129,28/04/2016,328.55,333.45,328.55,330,330.8,720980,2387.07
130,27/04/2016,318.9,332.25,318.1,327.75,327.9,863183,2830.97
131,26/04/2016,316,320,315.05,319.05,318.9,170762,542.84
132,25/04/2016,319.1,319.2,314,316.2,316,411215,1302
133,22/04/2016,317.7,318.65,316,316.75,317,437963,1388.79
134,21/04/2016,317.95,319,315.55,317.2,317.05,268211,851.86
135,20/04/2016,315,315.8,313,313.65,313.9,291096,914.73
136,18/04/2016,317.7,317.7,312.2,313.5,313.45,409822,1286.13
137,13/04/2016,321,322.85,318.9,319.6,319.65,1076761,3445.92
138,12/04/2016,318.75,320.45,316.1,316.4,318.05,386388,1228.72
139,11/04/2016,319,321.1,316,317.4,317.5,137632,437.29
140,8/04/2016,317,318.9,316.2,316.55,317.15,45098,143.18
141,7/04/2016,321,323.5,316.1,318,318.05,237769,759.12
142,6/04/2016,313.5,323.55,311,323,318.7,591854,1877.86
143,5/04/2016,312.5,315.9,312,312.55,313.7,813937,2562.92
144,4/04/2016,320.95,320.95,314,314.6,314.75,279546,880.48
145,1/04/2016,314.4,317.3,312.55,316.7,316.3,140332,441.93
146,31/03/2016,315.1,315.1,311,313.1,313,302850,947.76
147,30/03/2016,312.65,316.5,310.6,315.65,315.1,323100,1017.62
148,29/03/2016,314.9,315.05,308.45,313.25,312.55,148655,463.63
149,28/03/2016,317.9,318,312.4,314.5,315.05,262427,826.58
150,23/03/2016,317.05,318.8,314.3,316.6,317.1,243026,770.94
151,22/03/2016,317.05,321.9,315.5,316.85,317.4,548477,1744.36
152,21/03/2016,313.5,320,312.15,317.15,317.65,536998,1703.05
153,18/03/2016,307.9,314.6,307.7,312.1,313.35,571120,1779.58
154,17/03/2016,307,309.5,305.25,306,306.25,693901,2132.49
155,16/03/2016,308.45,310,301.05,303.3,303.35,732565,2230.43
156,15/03/2016,309.35,310.85,307,308.15,308.15,231140,712.75
157,14/03/2016,311.9,314.4,309,309.95,309.95,195841,608.64
158,11/03/2016,312,312.9,309.8,311,310.9,281592,875.97
159,10/03/2016,313,314.5,308.6,309.55,309.6,845251,2620.13
160,9/03/2016,309,313,307.2,310,309.75,268666,833.44
161,8/03/2016,312,317.45,310,310.45,311.3,365379,1147.94
162,4/03/2016,310.8,313.8,307.7,307.75,309,339104,1053.4
163,3/03/2016,307.7,314.6,302.35,308.6,308.75,467308,1439.35
164,2/03/2016,302.95,308.5,302.9,305.25,306.6,340973,1044.2
165,1/03/2016,309,309.25,300.35,301.8,301.45,599292,1812.29
166,29/02/2016,319,322.5,305.55,309.5,309.25,319176,1000.27
167,26/02/2016,319.9,322,318.05,319.6,318.9,160739,514.08
168,25/02/2016,321.75,322.75,316.45,318,317.8,290413,927.23
169,24/02/2016,316,322,315.25,318.3,318.4,233584,744.94
170,23/02/2016,324.45,325.95,318,318.5,319.45,286459,918.78
171,22/02/2016,320.05,323.95,319.25,321.5,320.4,263605,846
172,19/02/2016,322.6,324.15,315.65,320.75,321.6,405442,1297.41
173,18/02/2016,318.2,327.5,317.5,322.5,323.45,598394,1933.35
174,17/02/2016,318.2,320.3,310.05,316.5,315.65,382653,1204.19
175,16/02/2016,325,329.9,316.4,316.75,318.5,174858,565.69
176,15/02/2016,325,325.5,317,323.2,323,328174,1058.62
177,12/02/2016,327.5,327.5,312.1,315,315.75,527385,1672.47
178,11/02/2016,330,334,318,322,326.75,230582,755.02
179,10/02/2016,334,337,330.3,332.95,331.65,154791,514.71
180,9/02/2016,330,341.5,329.45,338,339.1,239638,808.14
181,8/02/2016,343,343.9,333.5,333.65,335.85,251814,852.23
182,5/02/2016,344.75,344.75,337.1,341.75,341.5,1038915,3548.05
183,4/02/2016,344,351.3,338.2,341,341.55,259857,895.47
184,3/02/2016,341.1,349.45,334.4,338.8,339.9,235073,798.66
185,2/02/2016,353,353.65,343.2,347.35,347.4,318488,1110.25
186,1/02/2016,352.55,359.8,347.75,355.5,356.05,152440,538.81
187,29/01/2016,351,354.9,342.8,349.85,351.55,951671,3328.06
188,28/01/2016,349,350.25,342.05,348.2,348.25,690825,2401.74
189,27/01/2016,341.8,347.75,340.45,347.2,347.05,256305,885.8
190,25/01/2016,349.95,349.95,341.3,345,346.05,590308,2034.52
191,22/01/2016,337,346.45,332.55,344.4,344,314490,1070.41
192,21/01/2016,339.85,342,331.25,333.6,333.7,2110913,7044.14
193,20/01/2016,335.6,342,334,340,339.85,354524,1199.54
194,19/01/2016,344.8,344.8,331.8,343.5,343.15,560360,1901.9
195,18/01/2016,353.9,354.35,343,347.65,347,381081,1320.02
196,15/01/2016,359.9,363,353.1,354.05,355.15,462359,1642.15
197,14/01/2016,355,363.9,355,358.2,358.05,820045,2938.95
198,13/01/2016,375.1,378.5,359.25,365,362.8,1460156,5305.63
199,12/01/2016,374.9,378.1,368.8,375.35,374.4,733848,2725.56
200,11/01/2016,385,388.55,375,377,376.25,588323,2231.98
201,8/01/2016,389,396,388,393.5,393.85,800631,3148.55
202,7/01/2016,397.9,397.9,386.3,389.35,388.4,651689,2531.47
203,6/01/2016,402,412.4,397.6,398.85,399.75,494283,2008.08
204,5/01/2016,400,405.6,397,402.15,402.3,360081,1441.76
205,4/01/2016,388,402.9,388,399,398.95,684016,2726.16
206,1/01/2016,390.1,393.95,385,388.05,389.05,281313,1094.67
207,31/12/2015,393,393.9,364.4,392,383,5173938,19851.83
208,30/12/2015,392.05,397.4,388.05,391.8,392.9,628588,2468.49
209,29/12/2015,403,403,383.2,390.55,391,898130,3551.64
210,28/12/2015,388.3,406.65,385.65,400.4,399.7,1054798,4187.24
211,24/12/2015,377,390,377,387.4,387.55,540461,2092.68
212,23/12/2015,374.1,377.9,372.35,376.05,376.45,240269,900.39
213,22/12/2015,375.15,379.8,372.5,374.25,374,493084,1846.81
214,21/12/2015,372.65,378.35,371.4,374.8,376.05,571491,2141.5
215,18/12/2015,375.5,380.5,372.9,376.05,375.15,402784,1518.94
216,17/12/2015,376.2,382.35,374.4,376,376.65,323769,1224.35
217,16/12/2015,367,378.85,365,376.8,376.2,520681,1949.04
218,15/12/2015,369.9,371.5,360,364.5,363,1192287,4356.81
219,14/12/2015,368.2,373.6,365.75,369.1,367.65,374902,1386.16
220,11/12/2015,369,376.2,365.2,373,373.8,767871,2838.8
221,10/12/2015,375,376,361,366.95,366.85,702084,2573.67
222,9/12/2015,374.2,376.9,367.05,373,373.2,620788,2314.39
223,8/12/2015,382.1,386,370.45,375,374.2,539586,2024.72
224,7/12/2015,391.65,399.9,382.05,387,387.1,2040080,7918.53
225,4/12/2015,380.2,396.65,380.2,395.1,394.5,1453051,5696.44
226,3/12/2015,382,392.6,380.7,385.35,386.5,1935452,7532.94
227,2/12/2015,388.3,389.25,377.4,387.8,385.75,341024,1312.93
228,1/12/2015,379.9,389,378.65,388.9,388.3,762395,2943.02
229,30/11/2015,379.6,381.35,370.5,380.2,377.5,12463170,46928.36
230,27/11/2015,381.5,381.5,373.65,380,378.6,886004,3338.55
231,26/11/2015,373.4,383,366.6,378,380.4,1210569,4555.9
232,24/11/2015,371.7,374.4,363.5,371,370.95,1030530,3802.52
233,23/11/2015,363,370.8,363,370.5,369.85,626428,2301.02
234,20/11/2015,361.05,364.65,358,364,362.9,853113,3092.49
235,19/11/2015,368,368.65,359.5,363,363.05,935743,3383.73
236,18/11/2015,363.2,365.9,360.15,365,364.35,459624,1672.7
237,17/11/2015,362.9,364.7,359,364.45,363.2,2196818,7926.31
238,16/11/2015,369.15,369.15,341.1,361,358.15,3460582,12257.34
239,13/11/2015,388.5,388.5,361.05,370,369.15,2175944,8008.31
240,11/11/2015,391,402.65,391,391.4,393.15,79877,316.66
241,10/11/2015,399.8,402,388.55,393,390.95,698552,2728.79
242,9/11/2015,396.55,404.2,394.05,399.15,398.9,481172,1919.63
243,6/11/2015,403.5,404.7,398.1,404.7,402.05,195592,784.95
244,5/11/2015,403.25,408.95,401.05,402.5,404.8,418467,1694.3
245,4/11/2015,406,407.8,403.5,403.5,404.45,110542,448.68
246,3/11/2015,404.95,407.85,401.35,403.8,404.05,136097,549.75
247,2/11/2015,404.5,406.5,397.05,402,401.95,401235,1603.97
248,30/10/2015,403,407.5,403,404.5,405.9,583776,2370.27
249,29/10/2015,405,411,399.6,405,403.15,702231,2846.72
250,28/10/2015,409,409,398.15,401.9,400.9,619640,2484.27
251,27/10/2015,419.05,419.05,406.65,409,408.15,587325,2412.47
252,26/10/2015,432.3,433.95,416.05,417.3,417.15,500638,2106.25
253,23/10/2015,435,441.45,432.9,434,434.75,210418,918.98
254,21/10/2015,438,438.55,431.5,436,435.35,163006,709.23
255,20/10/2015,442,445.05,435.05,438.85,438.85,218382,957.37
256,19/10/2015,445.5,449,441.25,443,442.95,114261,507.19
257,16/10/2015,443,446,441.25,443.85,442.95,189505,839.34
258,15/10/2015,442.8,447.9,441.05,442.1,441.95,176383,780.22
259,14/10/2015,448.95,450.7,442,444.1,443.9,139768,621.8
260,13/10/2015,446.2,453,444,448.95,449.3,182912,819.32
261,12/10/2015,454.55,460,440.15,448.15,447.3,211792,956.5
262,9/10/2015,466.2,467,452.5,455.1,454.9,190816,876.51
263,8/10/2015,460,464,453.25,460.1,463.4,169938,781.78
264,7/10/2015,448.7,459.4,446.3,459,455.45,339507,1543.26
265,6/10/2015,440.7,448.7,438,445,444.85,217546,966.01
266,5/10/2015,432.3,443.7,429.8,439.05,440.65,264527,1154.21
267,1/10/2015,425.5,432,423.5,431.05,431.25,122811,526.57
268,30/09/2015,429.95,429.95,412.05,423.5,423.35,469268,1966.6
269,29/09/2015,421.9,429.4,418.1,426.6,427.2,459191,1959.31
270,28/09/2015,432,432,421,423,421.9,234172,990.77
271,24/09/2015,430,435,425,430.6,432.3,191346,822.64
272,23/09/2015,432,432,426,429.7,427.7,247041,1057.95
273,22/09/2015,440.5,440.5,430.5,434,433.9,220202,953.79
274,21/09/2015,433.1,439.85,430.3,434.65,434.55,177595,773.14
275,18/09/2015,439,445,433.2,435.5,435,303471,1332.61
276,16/09/2015,438.5,444,433.1,442,441.85,176690,775.98
277,15/09/2015,447,450.65,445.6,448,448,384723,1723.7
278,14/09/2015,447.9,448.95,438.6,447.25,446.75,133550,592.02
279,11/09/2015,447.9,450,443.05,444.05,444.4,441867,1968.02
280,10/09/2015,436.95,446.9,433.5,443.05,444.05,690699,3067.22
281,9/09/2015,439.9,445.05,435.1,437.15,436.95,257064,1123.66
282,8/09/2015,433.15,441.8,427,434.05,434.9,185834,808.65
283,7/09/2015,441.95,448.9,430.3,432.5,432.7,360168,1562.57
284,4/09/2015,459,460,433.2,440.05,435.75,743384,3270.62
285,3/09/2015,455.85,467,455.05,459.9,457.95,527617,2436.08
286,2/09/2015,450.1,463.8,444.25,454.2,455.25,360611,1640.34
287,1/09/2015,451.75,459.5,446.85,452.95,452.4,271843,1230.74
288,31/08/2015,469,474.9,443.45,447.9,449.45,357267,1632.6
289,28/08/2015,464.9,473,462.5,467,468.1,617616,2895.86
290,27/08/2015,457.9,461,450,458,454.8,1043535,4750.64
291,26/08/2015,434.95,455.1,429.2,454.5,449.4,508158,2276.15
292,25/08/2015,435,450,424.4,435.1,443.05,370201,1610.19
293,24/08/2015,441,452.75,425,428,428.85,1714030,7514.93
294,21/08/2015,451.55,463.3,445.1,455,455.85,539625,2459.51
295,20/08/2015,462,472.85,455,455.95,459.6,308115,1434.46
296,19/08/2015,461,463,459.05,461.5,461.2,112074,516.44
297,18/08/2015,465,465,459,460.75,461.15,150665,695.5
298,17/08/2015,457.75,463.5,451,462,460.65,168879,773
299,14/08/2015,452,456,449,452,454.5,112009,508.03
300,13/08/2015,449.4,453.8,446,451.5,450.15,324334,1456.02
301,12/08/2015,452.85,462,444,453.95,450.4,452637,2040.82
302,11/08/2015,457,459.7,447.9,451.2,451.85,214330,968.75
303,10/08/2015,456,465,454.15,456.8,456.75,174154,797.79
304,7/08/2015,453.15,466.2,451.6,455.55,456.35,306722,1404.21
305,6/08/2015,450.9,460.7,447.3,454.8,456.4,339324,1542.22
306,5/08/2015,440.5,454,439.05,450.2,449.4,287698,1286.17
307,4/08/2015,440.05,444.75,436.65,440.3,440.3,218617,962.47
308,3/08/2015,430,444.4,426.55,442,441.9,232545,1008.04
309,31/07/2015,425,435,423.2,432.95,432.35,330239,1416
310,30/07/2015,427.95,430.5,420.1,423.6,422.55,795670,3384.7
311,29/07/2015,432,433.9,420,421.05,421.8,769034,3276.77
312,28/07/2015,435,436.2,424,429.1,429.55,257520,1106.02
313,27/07/2015,446,446,434.75,438,437.95,316144,1384.85
314,24/07/2015,442.9,449.5,441.45,445,446.05,223373,997.34
315,23/07/2015,437,443.75,432.6,442.85,442,206540,905.53
316,22/07/2015,435.5,440.4,433.2,436.95,436.3,156808,683.79
317,21/07/2015,439.95,441.15,433.5,437,439.35,145736,637.59
318,20/07/2015,442.95,443.9,439,439.05,439.6,194981,859.43
319,17/07/2015,446.45,446.45,441.55,442.95,442.95,149278,661.62
320,16/07/2015,444,447,439,445.55,445.05,154823,687.6
321,15/07/2015,440.8,446,440,441.6,443.25,185009,820.4
322,14/07/2015,437.5,440.8,436.65,438,438.35,209465,918.27
323,13/07/2015,440,443.9,435.85,440.25,440.05,198733,874.31
324,10/07/2015,425.2,441,419.45,437.7,438.9,575885,2484.26
325,9/07/2015,430.25,432,420.5,421.8,421.8,534307,2267.24
326,8/07/2015,445.8,445.8,427.05,428,429.5,553721,2403.71
327,7/07/2015,450,451,445.05,445.05,445.8,620447,2778
328,6/07/2015,450,451.9,444.1,450,449.9,245950,1103.25
329,3/07/2015,457,457.85,452.1,453,452.75,110056,500.99
330,2/07/2015,451.9,459.9,449.3,454,454.15,204872,933.03
331,1/07/2015,448.55,452.9,447,448.65,449.25,283306,1274
332,30/06/2015,448,451.7,445.1,447.8,446.8,352514,1576.93
333,29/06/2015,458.2,461.9,446.1,448.15,448.55,408917,1841.36
334,26/06/2015,469.5,469.5,462.95,464,463.85,174587,813.11
335,25/06/2015,472.95,472.95,465.2,470.5,469.55,272819,1279.75
336,24/06/2015,474.2,477.5,470,473,471.35,213496,1010.68
337,23/06/2015,470.85,477.8,469.1,472.7,473.45,332777,1579.09
338,22/06/2015,472.6,474.3,466,469.8,470.7,155355,729.93
339,19/06/2015,466.5,472.7,466,471.9,471.2,232438,1093.32
340,18/06/2015,461.25,472,461.25,464.8,466,409429,1905.6
341,17/06/2015,468.5,470.8,462.5,463,463.7,144695,674.41
342,16/06/2015,467,475.4,466,467,466.95,150079,705.08
343,15/06/2015,466,469.95,466,466.2,467.15,468191,2188
344,12/06/2015,467,474.5,467,470.5,470.1,276087,1299.14
345,11/06/2015,472,475,465.3,467.2,467.8,200750,940.94
346,10/06/2015,466,473,464,471,471,194474,914.57
347,9/06/2015,468.05,473.95,463,466.5,465.45,165492,772.4
348,8/06/2015,471.9,477,466.1,467.5,467.05,303190,1417.13
349,5/06/2015,474,477.95,466.1,472,471.3,296180,1396.02
350,4/06/2015,475,477.95,463.2,470,470.6,131740,619
351,3/06/2015,474.05,476.3,466.8,474,473.5,255352,1203.7
352,2/06/2015,485.8,487.25,473.1,475.9,476.4,306557,1462.43
353,1/06/2015,470,487.55,467,484,483.05,376554,1800.11
354,29/05/2015,478.4,478.5,460.65,467.5,464.95,707739,3303.11
355,28/05/2015,474.7,478.95,473.75,475,476.05,181244,862.61
356,27/05/2015,474.95,477,471.05,473.5,473.9,124289,587.46
357,26/05/2015,480.9,481.5,475.95,478,476.8,180124,858.6
358,25/05/2015,478.8,484,478,480.25,480.05,98168,471.39
359,22/05/2015,490,494,478.1,478.5,478.8,362571,1742.42
360,21/05/2015,491.95,495,475,479,478.5,223452,1067.93
361,20/05/2015,500,503,485.1,488.4,488.5,153103,753.22
362,19/05/2015,500,500,486.15,497,496.6,159010,785.45
363,18/05/2015,498.95,503.8,493.9,501.1,500.3,192266,957.6
364,15/05/2015,490.1,499.9,489.25,495.95,496.6,249410,1237.39
365,14/05/2015,479,489.6,476.15,488.7,488.45,172985,838.56
366,13/05/2015,486,486,468.05,477.4,476.1,895343,4216.07
367,12/05/2015,489.9,489.9,475.35,484.7,481.35,185444,889.41
368,11/05/2015,473.7,490.2,472,488.85,486.55,139217,670.43
369,8/05/2015,468.9,476,468,472.35,472.8,157202,742.32
370,7/05/2015,470,474.35,461.55,464.1,464.8,119159,554.82
371,6/05/2015,490.25,492.95,461.65,468,468.85,509861,2405.43
372,5/05/2015,487,489.85,481,485,484.4,236684,1148.71
373,4/05/2015,460.5,490,460.5,490,487.7,286561,1376.77
374,30/04/2015,466,466,456,458.25,457.8,280031,1281.23
375,29/04/2015,468,468,459,463.05,463.65,312106,1439.02
376,28/04/2015,466.2,471,461.5,467,467.7,157168,734.93
377,27/04/2015,470.05,474,460,469.9,466.2,244259,1138.6
378,24/04/2015,475.9,475.9,466,470.7,469.15,210156,987.6
379,23/04/2015,469.9,475.5,468,474,473.15,164678,776.52
380,22/04/2015,490,495,462.1,468,466.2,1167029,5482.2
381,21/04/2015,498,498,482.55,487.3,487.3,242116,1181.86
382,20/04/2015,518.9,518.9,481.85,500.7,500.45,352445,1762.81
383,17/04/2015,515,528,512,521,520.9,1214951,6325.93
384,16/04/2015,499.9,515.9,492.7,513.95,511,423624,2134.83
385,15/04/2015,483.9,514.45,483,496,501.4,539657,2701.19
386,13/04/2015,470,484,465,479.1,481.85,410568,1957.91
387,10/04/2015,456.65,469.4,456,467.5,467.65,1002054,4649.41
388,9/04/2015,454.9,459,453.1,456.5,456.65,285145,1300.34
389,8/04/2015,459.1,460,450.65,451.65,452,408007,1846.38
390,7/04/2015,461,464,455,457.7,457.65,152287,698.89
391,6/04/2015,459.4,462.45,452.25,458,459.85,199073,910.42
392,1/04/2015,454,460,451.55,456.6,457.8,96691,442.86
393,31/03/2015,459.8,462.8,452.45,454.45,454.95,277225,1265.84
394,30/03/2015,460,465,455,455.5,456.85,184355,846.23
395,27/03/2015,469.95,472.5,450.1,460,457.3,400296,1832.29
396,26/03/2015,470,472.9,467,469.9,468.3,157395,738.25
397,25/03/2015,476.7,480.95,466.85,471,471.3,198052,936.53
398,24/03/2015,478.7,478.7,469,471,471.45,150301,710.17
399,23/03/2015,483,488.95,480.75,486.3,484.25,143185,694.51
400,20/03/2015,484,487.1,473.45,480,481,262370,1256.1
401,19/03/2015,480,508,477.8,485,483.85,509587,2503.85
402,18/03/2015,482,483,477,478,478.25,232516,1112.22
403,17/03/2015,479.8,485.15,478.2,482.25,480.15,702861,3374.52
404,16/03/2015,486.85,488.15,475.2,476.55,477.4,552454,2643.23
405,13/03/2015,488,489.8,482,486.5,486.85,300321,1457.96
406,12/03/2015,486.1,490.6,483.2,486.9,486.15,206787,1006.48
407,11/03/2015,495,499.85,482.25,483.7,484.85,536457,2627.74
