Id,Dateofmeasurement,Temperature
148,1/04/1932,-0.4
149,2/05/1932,5.9
150,1/06/1932,12
151,2/07/1932,17.1
152,1/08/1932,18.5
153,1/09/1932,11.3
154,1/10/1932,2.3
155,1/11/1932,-1.4
156,1/12/1932,-3.2
157,1/01/1933,-8.8
158,1/02/1933,-5.7
159,2/03/1933,-0.5
160,2/04/1933,3.7
161,2/05/1933,9.2
162,2/06/1933,15.8
163,2/07/1933,20.5
164,1/08/1933,19.9
165,1/09/1933,15.1
166,1/10/1933,5.2
167,1/11/1933,-2.9
168,1/12/1933,-9.2
169,1/01/1934,-5.6
170,1/02/1934,-6.8
171,2/03/1934,-4.6
172,2/04/1934,1.9
173,2/05/1934,8.4
174,2/06/1934,14.6
175,2/07/1934,21.5
176,1/08/1934,15.4
177,1/09/1934,14.2
178,1/10/1934,6.2
179,1/11/1934,-2.2
180,1/12/1934,0.8
181,1/01/1935,-5
182,1/02/1935,-2.4
183,2/03/1935,-1.5
184,2/04/1935,2.1
185,2/05/1935,5
186,2/06/1935,15.5
187,2/07/1935,19.6
188,1/08/1935,19
189,1/09/1935,11.8
190,1/10/1935,3.6
191,1/11/1935,-0.8
192,1/12/1935,-8.6
193,1/01/1936,-7.7
194,1/02/1936,-10
195,2/03/1936,-1
196,1/04/1936,-1.1
197,2/05/1936,7.7
198,1/06/1936,13.6
199,2/07/1936,15
200,1/08/1936,16.1
201,1/09/1936,13.1
202,1/10/1936,4.6
203,1/11/1936,-3.4
204,1/12/1936,-3.7
205,1/01/1937,-4.2
206,1/02/1937,-4
207,2/03/1937,-6.6
208,2/04/1937,2.4
209,2/05/1937,9.1
210,2/06/1937,13.6
211,2/07/1937,16.4
212,1/08/1937,16.8
213,1/09/1937,11.3
214,1/10/1937,5.9
215,1/11/1937,-3.6
216,1/12/1937,-7.9
217,1/01/1938,-2.9
218,1/02/1938,-3.8
219,2/03/1938,2.3
220,2/04/1938,1.6
221,2/05/1938,7.4
222,2/06/1938,14
223,2/07/1938,14.6
224,1/08/1938,15.4
225,1/09/1938,12
226,1/10/1938,5.7
227,1/11/1938,2.8
228,1/12/1938,-5.8
229,1/01/1939,-5.6
230,1/02/1939,-4.1
231,2/03/1939,-2.6
232,2/04/1939,2.8
233,2/05/1939,7.4
234,2/06/1939,13
235,2/07/1939,15.7
236,1/08/1939,16.8
237,1/09/1939,13.2
238,1/10/1939,1.7
239,1/11/1939,1.6
240,1/12/1939,-7.2
